#SampleID	Sample_number	Sex	Treatment	Treatment_sex	Breeder_Pup	Type_of_sample	Day_of_life	Day_of_life_tissue	Week_of_life	Treatment_Day	Date_collected	DNA_extraction_date	Weight_of_pellet	Description
B11.26	B11	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_57_post_birth	4.19.2013	7.28.2013	37	B11.26
B11.27	B11	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	70.9	B11.27
B14.22	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_46_post_birth	4.8.2013	7.25.2013	38.1	B14.22
B14.23	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_48_post_birth	4.10.2013	7.25.2013	22.8	B14.23
B14.24	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_50_post_birth	4.12.2013	7.25.2013	52.7	B14.24
B14.25	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_55_post_birth	4.17.2013	7.25.2013	14	B14.25
B14.26	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_57_post_birth	4.19.2013	7.28.2013	29	B14.26
B14.27	B14	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	64.1	B14.27
B17.24	B17	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_50_post_birth	4.12.2013	7.25.2013	132.4	B17.24
B17.25	B17	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_56_post_birth	4.17.2013	7.25.2013	22.3	B17.25
B18.22	B18	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_47_post_birth	4.8.2013	7.25.2013	33.7	B18.22
B18.23	B18	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_49_post_birth	4.10.2013	7.25.2013	23.5	B18.23
B18.27	B18	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_62_post_birth	4.23.2013	7.28.2013	81.7	B18.27
B20.22	B20	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_47_post_birth	4.8.2013	7.25.2013	62.6	B20.22
B20.23	B20	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_49_post_birth	4.10.2013	7.25.2013	45.7	B20.23
B20.27	B20	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_62_post_birth	4.23.2013	7.28.2013	71	B20.27
B21.24	B21	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_50_post_birth	4.12.2013	7.25.2013	93.1	B21.24
B21.26	B21	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_57_post_birth	4.19.2013	7.28.2013	62.5	B21.26
B21.27	B21	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	45.2	B21.27
B22.22	B22	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_47_post_birth	4.8.2013	7.25.2013	25.2	B22.22
B22.23	B22	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_49_post_birth	4.10.2013	7.25.2013	36	B22.23
B22.27	B22	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_62_post_birth	4.23.2013	7.28.2013	59.7	B22.27
B23.22	B23	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_46_post_birth	4.8.2013	7.25.2013	18.4	B23.22
B23.24	B23	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_50_post_birth	4.12.2013	7.25.2013	53.8	B23.24
B23.27	B23	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	25.3	B23.27
B25.22	B25	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_46_post_birth	4.8.2013	7.25.2013	50	B25.22
B25.25	B25	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_55_post_birth	4.17.2013	7.25.2013	31.6	B25.25
B25.27	B25	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	53	B25.27
B26.23	B26	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_48_post_birth	4.10.2013	7.25.2013	26.8	B26.23
B26.26	B26	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_57_post_birth	4.19.2013	7.28.2013	29.4	B26.26
B26.27	B26	Female	Control	Control_Female	Breeder	Fecal	52	52	7.5	Day_61_post_birth	4.23.2013	7.28.2013	66.4	B26.27
EP1.23	EP1	Female	Control	Control_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	34.9	EP1.23
EP10.23	EP10	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	49.4	EP10.23
EP11.22	EP11	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	76.2	EP11.22
EP12.24	EP12	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	47.2	EP12.24
EP13.24	EP13	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	46.7	EP13.24
EP14.26	EP14	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	104.7	EP14.26
EP15.25	EP15	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	66.4	EP15.25
EP16.24	EP16	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	53.7	EP16.24
EP17.25	EP17	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	41.8	EP17.25
EP18.22	EP18	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	72.3	EP18.22
EP19.26	EP19	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	48.6	EP19.26
EP2.22	EP2	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	21.8	EP2.22
EP20.23	EP20	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_48	4.10.2013	7.25.2013	29	EP20.23
EP21.26	EP21	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	102.6	EP21.26
EP22.24	EP22	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	50.1	EP22.24
EP23.25	EP23	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	54.8	EP23.25
EP24.25	EP24	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	98.2	EP24.25
EP25.25	EP25	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	77.7	EP25.25
EP26.25	EP26	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	58.1	EP26.25
EP27.24	EP27	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	29.4	EP27.24
EP28.24	EP28	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	39.2	EP28.24
EP29.25	EP29	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.25.2013	41.6	EP29.25
EP3.22	EP3	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	50.4	EP3.22
EP30.26	EP30	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	89.6	EP30.26
EP32.24	EP32	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	47.8	EP32.24
EP33.24	EP33	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	_	EP33.24
EP34.26	EP34	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	89.5	EP34.26
EP35.26	EP35	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	31.7	EP35.26
EP36.22	EP36	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	42.2	EP36.22
EP37.24	EP37	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	61.6	EP37.24
EP38.22	EP38	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	52.2	EP38.22
EP39.24	EP39	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_50	4.12.2013	7.25.2013	63	EP39.24
EP4.23	EP4	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	55.5	EP4.23
EP40.22	EP40	Male	PAT3	PAT3_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	42.7	EP40.22
EP41.22	EP41	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	12.7	EP41.22
EP42.25	EP42	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.28.2013	73.6	EP42.25
EP43.25	EP43	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.28.2013	43	EP43.25
EP44.25	EP44	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_55	4.17.2013	7.28.2013	58.9	EP44.25
EP45.26	EP45	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	81.1	EP45.26
EP46.23	EP46	Female	Control	Control_Female	pup	Fecal	52	52	7.5	pup_day_48	4.10.2013	7.25.2013	21.4	EP46.23
EP47.23	EP47	Female	Control	Control_Female	pup	Fecal	52	52	7.5	pup_day_48	4.10.2013	7.25.2013	43.8	EP47.23
EP48.26	EP48	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	46.5	EP48.26
EP49.26	EP49	Male	Control	Control_Male	pup	Fecal	52	52	7.5	pup_day_57	4.19.2013	7.28.2013	54.8	EP49.26
EP5.22	EP5	Male	PAT1	PAT1_Male	pup	Fecal	52	52	7.5	pup_day_47	4.8.2013	7.25.2013	39.2	EP5.22
EP6.23	EP6	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	43.7	EP6.23
EP7.23	EP7	Female	PAT1	PAT1_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	51.6	EP7.23
EP8.23	EP8	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	55.1	EP8.23
EP9.23	EP9	Female	PAT3	PAT3_Female	pup	Fecal	52	52	7.5	pup_day_49	4.10.2013	7.25.2013	46.4	EP9.23
B11.28	B11	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	NA	B11.28
B14.28	B14	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	27.2	B14.28
B17.28	B17	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	44.7	B17.28
B18.28	B18	Female	Control	Control_Female	Breeder	Ileal	52	Ileal	7.5	Day_62_post_birth	4.23.2013	7.28.2013	NA	B18.28
B20.28	B20	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_62_post_birth	4.23.2013	7.28.2013	NA	B20.28
B21.28	B21	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	19.1	B21.28
B22.28	B22	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_62_post_birth	4.23.2013	7.28.2013	36	B22.28
B23.28	B23	Female	PAT	PAT_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	NA	B23.28
B25.28	B25	Female	Control	Control_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	NA	B25.28
B26.28	B26	Female	Control	Control_Female	Breeder	Ileal	52	Ileal	7.5	Day_61_post_birth	4.23.2013	7.28.2013	23.1	B26.28
EP1.28	EP1	Female	Control	Control_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	NA	EP1.28
EP10.28	EP10	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	39.2	EP10.28
EP11.28	EP11	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	51.2	EP11.28
EP12.28	EP12	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	58.3	EP12.28
EP13.28	EP13	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	NA	EP13.28
EP14.28	EP14	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	45.7	EP14.28
EP15.28	EP15	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	75.6	EP15.28
EP16.28	EP16	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	NA	EP16.28
EP17.28	EP17	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	16.4	EP17.28
EP18.28	EP18	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	53.1	EP18.28
EP19.28	EP19	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	50.2	EP19.28
EP2.28	EP2	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	57.6	EP2.28
EP20.28	EP20	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_48	4.10.2013	7.28.2013	50.3	EP20.28
EP21.28	EP21	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	46.4	EP21.28
EP22.28	EP22	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	30.6	EP22.28
EP23.28	EP23	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	NA	EP23.28
EP24.28	EP24	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	45.4	EP24.28
EP25.28	EP25	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	NA	EP25.28
EP26.28	EP26	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	NA	EP26.28
EP27.28	EP27	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	36.7	EP27.28
EP28.28	EP28	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	33	EP28.28
EP29.28	EP29	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	36.5	EP29.28
EP3.28	EP3	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	31.5	EP3.28
EP30.28	EP30	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	NA	EP30.28
EP32.28	EP32	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	NA	EP32.28
EP33.28	EP33	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	NA	EP33.28
EP34.28	EP34	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	49.7	EP34.28
EP35.28	EP35	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	42.5	EP35.28
EP36.28	EP36	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	63.5	EP36.28
EP37.28	EP37	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	23.4	EP37.28
EP38.28	EP38	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	NA	EP38.28
EP39.28	EP39	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_50	4.12.2013	7.28.2013	NA	EP39.28
EP4.28	EP4	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	18.1	EP4.28
EP40.28	EP40	Male	PAT3	PAT3_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	NA	EP40.28
EP41.28	EP41	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_46	4.8.2013	7.28.2013	25.8	EP41.28
EP42.28	EP42	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	47.4	EP42.28
EP43.28	EP43	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	46.7	EP43.28
EP44.28	EP44	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_55	4.17.2013	7.28.2013	52.3	EP44.28
EP45.28	EP45	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	45.2	EP45.28
EP46.28	EP46	Female	Control	Control_Female	pup	Ileal	52	Ileal	7.5	pup_day_48	4.10.2013	7.28.2013	31.3	EP46.28
EP47.28	EP47	Female	Control	Control_Female	pup	Ileal	52	Ileal	7.5	pup_day_48	4.10.2013	7.28.2013	28.7	EP47.28
EP48.28	EP48	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	31.3	EP48.28
EP49.28	EP49	Male	Control	Control_Male	pup	Ileal	52	Ileal	7.5	pup_day_57	4.19.2013	7.28.2013	35.1	EP49.28
EP5.28	EP5	Male	PAT1	PAT1_Male	pup	Ileal	52	Ileal	7.5	pup_day_47	4.8.2013	7.28.2013	75.5	EP5.28
EP6.28	EP6	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	NA	EP6.28
EP7.28	EP7	Female	PAT1	PAT1_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	22.2	EP7.28
EP8.28	EP8	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	37.8	EP8.28
EP9.28	EP9	Female	PAT3	PAT3_Female	pup	Ileal	52	Ileal	7.5	pup_day_49	4.10.2013	7.28.2013	40.4	EP9.28
